code,name,streetCode,provinceCode,cityCode,areaCode
150423103200,"镇内",150423103,15,1504,150423
150423103201,"额尔根勿苏村",150423103,15,1504,150423
150423103202,"二八地村",150423103,15,1504,150423
150423103203,"上石村",150423103,15,1504,150423
150423103204,"下石村",150423103,15,1504,150423
150423103205,"查干花村",150423103,15,1504,150423
150423103206,"海拉逊扎拉嘎村",150423103,15,1504,150423
150423103207,"楼子嘎查村",150423103,15,1504,150423
150423103208,"图拉嘎嘎查村",150423103,15,1504,150423
150423103209,"伊和德日斯嘎查村",150423103,15,1504,150423
150423103210,"查干诺尔嘎查村",150423103,15,1504,150423
150423103211,"巴日图嘎查村",150423103,15,1504,150423
150423103212,"达巴嘎查村",150423103,15,1504,150423
150423103213,"小城子村",150423103,15,1504,150423
150423105200,"镇内",150423105,15,1504,150423
150423105201,"舍日吐村",150423105,15,1504,150423
150423105202,"查干达巴村",150423105,15,1504,150423
150423105203,"巴彦敖包村",150423105,15,1504,150423
150423105204,"上要日吐嘎查村",150423105,15,1504,150423
150423105205,"胡勒斯台村",150423105,15,1504,150423
150423105206,"下要日吐村",150423105,15,1504,150423
150423105207,"沙日嘎达巴村",150423105,15,1504,150423
150423105208,"四家村",150423105,15,1504,150423
150423105209,"中组村",150423105,15,1504,150423
150423105210,"山头村",150423105,15,1504,150423
150423200200,"苏吉嘎查村",150423200,15,1504,150423
150423200201,"锡热嘎查村",150423200,15,1504,150423
150423200202,"浩亚尔乌苏嘎查村",150423200,15,1504,150423
150423200203,"哈日杰嘎查村",150423200,15,1504,150423
150423200204,"胡日哈嘎查村",150423200,15,1504,150423
150423200205,"哈日根图嘎查村",150423200,15,1504,150423
150423200206,"马鬃山村",150423200,15,1504,150423
150423200207,"达林台嘎查村",150423200,15,1504,150423
150423200208,"沙布嘎嘎查村",150423200,15,1504,150423
150423200209,"益和诺尔嘎查村",150423200,15,1504,150423
150423200210,"布敦花嘎查村",150423200,15,1504,150423
150423200211,"家属村",150423200,15,1504,150423
150423200212,"一村",150423200,15,1504,150423
150423200213,"二村",150423200,15,1504,150423
150423200214,"高勒艾勒嘎查村",150423200,15,1504,150423
150423200215,"巴彦塔拉嘎查村",150423200,15,1504,150423
150423200216,"哈日巴召村",150423200,15,1504,150423
150423200217,"尚申毛都嘎查村",150423200,15,1504,150423
150423200218,"迫毛都嘎查村",150423200,15,1504,150423
150423200219,"跃进村",150423200,15,1504,150423
150423201200,"塔班板嘎查村",150423201,15,1504,150423
150423201201,"达兰花嘎查村",150423201,15,1504,150423
150423201202,"昭胡都格嘎查村",150423201,15,1504,150423
150423201203,"太布代嘎查村",150423201,15,1504,150423
150423201204,"古日古勒台嘎查村",150423201,15,1504,150423
150423201205,"宝木图嘎查村",150423201,15,1504,150423
150423201206,"吉布图嘎查村",150423201,15,1504,150423
150423201207,"乌兰海嘎查村",150423201,15,1504,150423
150423201208,"哈日根塔拉嘎查村",150423201,15,1504,150423
150423201209,"老道板嘎查村",150423201,15,1504,150423
150423201210,"巴兰诺尔嘎查村",150423201,15,1504,150423
150423202200,"幸福之路村",150423202,15,1504,150423
150423202201,"查干勿苏嘎查村",150423202,15,1504,150423
150423202202,"王艾勒嘎查村",150423202,15,1504,150423
150423202203,"敖日盖嘎查村",150423202,15,1504,150423
150423202204,"塔拉宝拉格嘎查村",150423202,15,1504,150423
150423202205,"关乃恩格日嘎查村",150423202,15,1504,150423
150423202206,"阿力木吐嘠查村",150423202,15,1504,150423
150423202207,"乌义日吐嘎查村",150423202,15,1504,150423
150423202208,"查干宝拉格村",150423202,15,1504,150423
150423202209,"海勒斯阿木嘎查村",150423202,15,1504,150423
150423202210,"床金沟村",150423202,15,1504,150423
150423202211,"浩特艾勒嘎查村",150423202,15,1504,150423
150423202212,"乌苏伊很嘎查村",150423202,15,1504,150423
150423202213,"建设村",150423202,15,1504,150423
150423202214,"乌兰陶勒盖村",150423202,15,1504,150423
150423202215,"胜利村",150423202,15,1504,150423
150423202216,"和日木图村",150423202,15,1504,150423
150423202217,"床金嘎查村",150423202,15,1504,150423
150423203200,"沙巴尔台嘎查村",150423203,15,1504,150423
150423203201,"塔本花嘎查村",150423203,15,1504,150423
150423203202,"呼特勒嘎查村",150423203,15,1504,150423
150423203203,"呼勒斯图布郎嘎查村",150423203,15,1504,150423
150423203204,"查干锡热嘎查村",150423203,15,1504,150423
150423203205,"浩伊日毛都嘎查村",150423203,15,1504,150423
150423203206,"毛敦敦达嘎查村",150423203,15,1504,150423
150423203207,"珠腊沁嘎查村",150423203,15,1504,150423
150423203208,"查干沐沦嘎查村",150423203,15,1504,150423
150423203209,"巴彦锡那村",150423203,15,1504,150423
150423203210,"达马金村",150423203,15,1504,150423
150423203211,"岗根村",150423203,15,1504,150423
150426100212,"镇内",150426100,15,1504,150426
150426100213,"七分地村",150426100,15,1504,150426
150426100214,"九分地村",150426100,15,1504,150426
150426100215,"新地村",150426100,15,1504,150426
150426100216,"驿马吐村",150426100,15,1504,150426
150426100218,"疙瘩窝铺村",150426100,15,1504,150426
150426100220,"兴隆地村",150426100,15,1504,150426
150426100223,"赛沁塔拉嘎查村",150426100,15,1504,150426
150426100224,"呼波音艾勒嘎查村",150426100,15,1504,150426
150426100225,"布日敦嘎查村",150426100,15,1504,150426
150426100226,"花音艾勒嘎查村",150426100,15,1504,150426
150426100227,"巴彦罕嘎查",150426100,15,1504,150426
150426100228,"哈达图嘎查村",150426100,15,1504,150426
150426100229,"沙布日太嘎查村",150426100,15,1504,150426
150426100230,"阿日善嘎查村",150426100,15,1504,150426
150426100231,"布力彦嘎查村",150426100,15,1504,150426
150426100232,"呼日哈嘎查村",150426100,15,1504,150426
150426100233,"布敦花嘎查村",150426100,15,1504,150426
150426100234,"呼和苏勒嘎查村",150426100,15,1504,150426
150426100235,"巴嘎塔拉嘎查村",150426100,15,1504,150426
150426100236,"哈日敖包嘎查村",150426100,15,1504,150426
150426100237,"其甘嘎查村",150426100,15,1504,150426
